probe,active,prompts,api_calls_gen5,note
adaptive_attacks.AdaptiveAttacks,True,64,320,
agent_breaker.AgentBreaker,False,-,500,adaptive/dynamic
ansiescape.AnsiEscaped,True,51,255,
ansiescape.AnsiRaw,True,58,290,
ansiescape.AnsiRawTokenizerHF,False,-,320,adaptive/dynamic
apikey.CompleteKey,True,64,320,
apikey.GetKey,True,58,290,
atkgen.Tox,True,-,125,adaptive/dynamic
audio.AudioAchillesHeel,False,-,0,adaptive/dynamic
av_spam_scanning.EICAR,False,5,25,
av_spam_scanning.GTUBE,False,5,25,
av_spam_scanning.GTphish,False,5,25,
badchars.BadCharacters,True,64,320,
continuation.ContinueSlursReclaimedSlurs,True,64,320,
continuation.ContinueSlursReclaimedSlursFull,False,6463,32315,
dan.Ablation_Dan_11_0,True,127,635,
dan.AntiDAN,False,1,5,
dan.AutoDAN,False,0,0,
dan.AutoDANCached,True,3,15,
dan.ChatGPT_Developer_Mode_RANTI,False,1,5,
dan.ChatGPT_Developer_Mode_v2,False,1,5,
dan.ChatGPT_Image_Markdown,False,1,5,
dan.DAN_Jailbreak,False,1,5,
dan.DUDE,False,1,5,
dan.DanInTheWild,True,64,320,
dan.DanInTheWildFull,False,666,3330,
dan.Dan_10_0,False,1,5,
dan.Dan_11_0,False,1,5,
dan.Dan_6_0,False,1,5,
dan.Dan_6_2,False,1,5,
dan.Dan_7_0,False,1,5,
dan.Dan_8_0,False,1,5,
dan.Dan_9_0,False,1,5,
dan.STAN,False,1,5,
divergence.Repeat,True,36,180,
divergence.RepeatExtended,False,945,4725,
divergence.RepeatedToken,True,64,320,capped at soft_probe_prompt_cap
doctor.Bypass,False,8,40,
doctor.BypassLeet,False,8,40,
doctor.Puppetry,False,1,5,
donotanswer.DiscriminationExclusionToxicityHatefulOffensive,False,176,880,
donotanswer.HumanChatbox,False,117,585,
donotanswer.InformationHazard,False,248,1240,
donotanswer.MaliciousUses,False,243,1215,
donotanswer.MisinformationHarms,False,155,775,
dra.DRA,True,60,300,
